Numero,Nombre,Partidos_jugados,Partidos_titular,Goles,Asistencias,Tarjetas_amarillas,Edad,Altura,Valor_Mercado,ELO,Temporadas,Partidos_totales,Goles_totales,Asistencias_totales,Posicion
13,A. Corellano,10,10,19.0,0.0,2.0,19.0,,1000,30,1,10,19.0,2.0,Porteros
1,A. Barovero,9,9,17.0,0.0,0.0,,,1000,27,1,9,17.0,0.0,Porteros
1,H. Valera,8,6,15.0,0.0,2.0,19.0,,1000,35,1,8,15.0,2.0,Porteros
1,E. Cevallos,3,3,10.0,0.0,0.0,19.0,,1000,33,1,3,10.0,0.0,Porteros
1,P. Caldas,0,0,0.0,0.0,0.0,,,1000,27,1,0,0.0,0.0,Porteros
13,N. De La Torre,3,2,4.0,0.0,0.0,18.0,,1000,31,2,3,4.0,0.0,Porteros
13,M. Aranda,0,0,0.0,0.0,0.0,,,1000,26,1,0,0.0,0.0,Porteros
30,Angulo,27,27,2.0,0.0,4.0,17.0,193.0,1000,31,1,27,2.0,5.0,Defensas
10,D. Ortega,23,16,1.0,0.0,6.0,19.0,,2000,37,1,23,1.0,6.0,Defensas
9,A. De Avila,24,15,5.0,0.0,2.0,,,1000,35,1,24,5.0,2.0,Defensas
4,G. Del Olmo,18,17,0.0,0.0,5.0,19.0,,2000,35,1,18,0.0,5.0,Defensas
3,H. Fernández,17,12,0.0,0.0,4.0,19.0,,2000,36,1,17,0.0,5.0,Defensas
8,A. Buono,26,22,0.0,0.0,1.0,19.0,176.0,1000,29,1,26,0.0,1.0,Defensas
27,N. Rincon,17,10,0.0,0.0,2.0,18.0,,1000,30,1,17,0.0,2.0,Defensas
22,J. Prieto,1,0,0.0,0.0,0.0,,,1000,37,1,1,0.0,0.0,Defensas
5,A. Gonzalez,8,7,1.0,0.0,5.0,,,1000,28,1,8,1.0,5.0,Defensas
12,M. Ojeda,9,5,0.0,0.0,0.0,,,1000,27,1,9,0.0,0.0,Defensas
2,Adrián Jurado,7,1,0.0,0.0,1.0,19.0,,1000,26,1,7,0.0,1.0,Defensas
6,C. Sanchez,11,9,0.0,0.0,1.0,19.0,,4000,41,1,11,0.0,1.0,Centrocampistas
18,M. Lindo,27,25,5.0,0.0,10.0,19.0,,2000,36,1,27,5.0,10.0,Centrocampistas
23,Isaac García,28,18,3.0,0.0,10.0,19.0,,2000,36,1,28,3.0,10.0,Centrocampistas
16,I. Redondo,23,23,1.0,0.0,8.0,19.0,,2000,31,1,23,1.0,9.0,Centrocampistas
26,Y. Rioja,1,1,0.0,0.0,0.0,19.0,,1000,28,1,1,0.0,0.0,Centrocampistas
28,R. Perez,25,22,0.0,0.0,7.0,18.0,,1000,29,1,25,0.0,7.0,Centrocampistas
8,S. Gonzalez,8,3,2.0,0.0,0.0,19.0,,2000,36,1,8,2.0,0.0,Centrocampistas
6,H. Luquin,2,0,0.0,0.0,0.0,18.0,,1000,31,1,2,0.0,0.0,Centrocampistas
2,S. Marjani,1,0,0.0,0.0,0.0,19.0,,1000,33,1,1,0.0,0.0,Centrocampistas
5,I. Garcia,10,3,1.0,0.0,1.0,19.0,,1000,34,1,10,1.0,1.0,Centrocampistas
6,J. Nguyen,11,8,0.0,0.0,2.0,,,1000,27,1,11,0.0,2.0,Centrocampistas
20,Y. El Massoudi,3,0,0.0,0.0,0.0,18.0,,1000,26,1,3,0.0,0.0,Centrocampistas
10,M. García,26,20,5.0,0.0,0.0,19.0,,3000,36,1,26,5.0,0.0,Delanteros
11,Daniel Utrera,26,21,4.0,0.0,3.0,18.0,173.0,2000,30,1,26,4.0,3.0,Delanteros
72,J. Sanabria,1,0,0.0,0.0,0.0,18.0,,1000,30,1,1,0.0,0.0,Delanteros
9,Igor Sava,21,8,3.0,0.0,3.0,19.0,,1000,28,1,21,3.0,3.0,Delanteros
14,M. Rojas,15,1,0.0,0.0,2.0,19.0,,1000,31,1,15,0.0,2.0,Delanteros
7,R. García,15,6,0.0,0.0,1.0,19.0,174.0,1000,26,1,15,0.0,1.0,Delanteros
