Numero,Nombre,Partidos_jugados,Partidos_titular,Goles,Asistencias,Tarjetas_amarillas,Edad,Altura,Valor_Mercado,ELO,Temporadas,Partidos_totales,Goles_totales,Asistencias_totales,Posicion
14.0,B. Phala,1,0,0.0,0.0,0.0,,,1000,26,1,1,0.0,0.0,Porteros
1.0,D. Medenica,19,19,18.0,0.0,6.0,18.0,185.0,1000,29,1,19,18.0,6.0,Porteros
25.0,S. Sanchez,0,0,0.0,0.0,0.0,17.0,,1000,30,1,0,0.0,0.0,Porteros
25.0,D. Ferrer,7,7,4.0,0.0,2.0,18.0,185.0,1000,27,2,7,4.0,2.0,Porteros
25.0,D. Miguel,0,0,0.0,0.0,0.0,17.0,,1000,27,1,0,0.0,0.0,Porteros
13.0,Maximo Lopez,5,4,16.0,0.0,1.0,19.0,,1000,32,2,5,16.0,1.0,Porteros
20.0,Alejandro Campos,22,22,3.0,0.0,3.0,18.0,,7000,39,2,23,3.0,3.0,Defensas
15.0,H. Paniagua,28,27,1.0,0.0,7.0,19.0,,12000,38,1,28,1.0,7.0,Defensas
17.0,Joel Fortes,25,21,2.0,0.0,3.0,18.0,,9000,38,1,25,2.0,3.0,Defensas
5.0,Lucas Calleja,17,8,1.0,0.0,3.0,18.0,,10000,39,2,31,1.0,5.0,Defensas
12.0,Pedro Morón,14,8,1.0,0.0,1.0,19.0,,4000,37,2,14,1.0,1.0,Defensas
2.0,D. Hernandez,6,1,0.0,0.0,0.0,19.0,,1000,27,1,6,0.0,0.0,Defensas
18.0,N. Maroto,2,0,0.0,0.0,0.0,,,1000,26,1,2,0.0,0.0,Defensas
22.0,M. Verdú,27,25,2.0,0.0,7.0,18.0,,6000,39,1,27,2.0,7.0,Centrocampistas
11.0,A. Del Águila,28,28,1.0,0.0,0.0,17.0,,8000,39,1,28,1.0,0.0,Centrocampistas
,P. Altozano,0,0,0.0,0.0,0.0,20.0,,18000,44,1,28,2.0,4.0,Centrocampistas
8.0,M. Calderero,27,19,1.0,0.0,5.0,19.0,,8000,40,1,27,1.0,5.0,Centrocampistas
26.0,S. Salazar,27,20,6.0,0.0,3.0,16.0,,2000,30,1,27,6.0,3.0,Centrocampistas
28.0,A. Gonzalez,2,2,0.0,0.0,0.0,18.0,,1000,32,1,2,0.0,0.0,Centrocampistas
14.0,A. Riquelme,6,6,1.0,0.0,0.0,19.0,,10000,38,1,6,1.0,0.0,Centrocampistas
7.0,J. Celada,24,9,1.0,0.0,0.0,18.0,,3000,35,1,24,1.0,0.0,Centrocampistas
14.0,H. Luquin,0,0,0.0,0.0,0.0,18.0,,1000,31,1,0,0.0,0.0,Centrocampistas
19.0,E. Pardal,5,0,0.0,0.0,0.0,18.0,,1000,27,2,10,0.0,1.0,Centrocampistas
6.0,I. Montoya,16,7,0.0,0.0,4.0,19.0,,3000,36,1,16,0.0,4.0,Centrocampistas
10.0,I. De La Puebla,26,9,2.0,0.0,3.0,19.0,,1000,29,1,26,2.0,3.0,Centrocampistas
16.0,Sang-min Lee,21,12,1.0,0.0,3.0,19.0,169.0,1000,31,1,21,1.0,3.0,Centrocampistas
19.0,M. Cuéllar,27,24,14.0,0.0,4.0,18.0,191.0,4000,32,1,27,14.0,4.0,Delanteros
3.0,H. Polo,20,18,0.0,0.0,3.0,18.0,180.0,5000,38,1,20,0.0,4.0,Delanteros
21.0,I. Motos,18,17,3.0,0.0,2.0,17.0,,7000,37,1,18,3.0,2.0,Delanteros
4.0,Hugo Pliego,18,12,0.0,0.0,5.0,18.0,,3000,34,2,34,0.0,9.0,Delanteros
9.0,J. Peralta,11,3,0.0,0.0,1.0,19.0,174.0,3000,35,1,11,0.0,1.0,Delanteros
23.0,Luis Bengoechea,19,2,0.0,0.0,1.0,19.0,175.0,2000,33,1,19,0.0,1.0,Delanteros
