Numero,Nombre,Partidos_jugados,Partidos_titular,Goles,Asistencias,Tarjetas_amarillas,Edad,Altura,Valor_Mercado,ELO,Temporadas,Partidos_totales,Goles_totales,Asistencias_totales,Posicion
13,Y. Fernández,23,23,29.0,0.0,6.0,19.0,,7000,38,2,36,46.0,6.0,Porteros
13,José María Jurado,0,0,0.0,0.0,0.0,17.0,,2000,33,2,0,0.0,0.0,Porteros
1,Pablo Gragera,7,7,20.0,0.0,2.0,18.0,,4000,37,1,7,20.0,2.0,Porteros
17,Samuel García,29,22,1.0,0.0,3.0,19.0,,4000,38,1,29,1.0,3.0,Defensas
4,K. Jankowski,29,29,2.0,0.0,6.0,18.0,,2000,31,1,29,2.0,6.0,Defensas
2,A. Ruiz,15,14,0.0,0.0,0.0,18.0,,2000,30,2,18,0.0,0.0,Defensas
2,Gregorio Javier,25,21,0.0,0.0,9.0,19.0,,4000,35,1,25,0.0,11.0,Defensas
2,Cristian Casado,14,10,0.0,0.0,1.0,19.0,,2000,33,1,14,0.0,1.0,Defensas
5,Mario López,7,6,1.0,0.0,3.0,19.0,,4000,35,1,7,1.0,3.0,Defensas
17,A. Hidalgo,15,10,2.0,0.0,3.0,,,1000,30,1,15,2.0,3.0,Defensas
12,J. Jose,7,6,0.0,0.0,4.0,19.0,,3000,37,1,7,0.0,5.0,Defensas
3,A. Garcia,18,16,0.0,0.0,2.0,18.0,,2000,35,1,18,0.0,2.0,Defensas
12,Isra García,15,5,0.0,0.0,4.0,19.0,,2000,34,1,15,0.0,4.0,Defensas
8,Manuel Jardón,24,22,3.0,0.0,7.0,19.0,,14000,43,4,77,6.0,19.0,Centrocampistas
18,Egoi Ilundain,0,0,0.0,0.0,0.0,19.0,,5000,38,1,0,0.0,0.0,Centrocampistas
10,D. Rodríguez,30,30,0.0,0.0,3.0,19.0,,3000,34,1,30,0.0,3.0,Centrocampistas
18,S. Torres,17,10,0.0,0.0,4.0,19.0,,4000,41,2,20,0.0,4.0,Centrocampistas
16,J. Gallardo,26,10,0.0,0.0,7.0,19.0,,2000,32,1,26,0.0,7.0,Centrocampistas
6,Nano,10,4,1.0,0.0,2.0,19.0,,4000,34,1,10,1.0,3.0,Centrocampistas
17,Nemanja Bojanić,9,1,0.0,0.0,0.0,19.0,,1000,31,1,9,0.0,0.0,Centrocampistas
17,Jesús Rei,1,0,0.0,0.0,0.0,19.0,,1000,33,1,1,0.0,0.0,Centrocampistas
9,A. Tena,13,1,1.0,0.0,1.0,19.0,,1000,34,1,13,1.0,1.0,Centrocampistas
12,M. Zuhail,3,0,0.0,0.0,0.0,18.0,,1000,34,1,3,0.0,0.0,Centrocampistas
15,A. Hernandez,5,1,0.0,0.0,0.0,18.0,,1000,26,1,5,0.0,0.0,Centrocampistas
10,Viti,15,13,10.0,0.0,4.0,19.0,,25000,43,3,68,22.0,8.0,Delanteros
15,I. Fernández,30,28,3.0,0.0,4.0,19.0,,6000,41,1,30,3.0,4.0,Delanteros
11,Bruno Citores,29,25,7.0,0.0,2.0,19.0,,3000,36,1,29,7.0,2.0,Delanteros
7,Chispa,29,15,3.0,0.0,2.0,19.0,,2000,29,1,29,3.0,2.0,Delanteros
13,S. Reseco,0,0,0.0,0.0,0.0,17.0,,1000,28,1,0,0.0,0.0,Delanteros
14,M. Savane,3,0,0.0,0.0,0.0,18.0,,1000,26,1,3,0.0,0.0,Delanteros
6,E. Domínguez,1,1,0.0,0.0,0.0,17.0,172.0,1000,27,1,1,0.0,0.0,Delanteros
