Numero,Nombre,Partidos_jugados,Partidos_titular,Goles,Asistencias,Tarjetas_amarillas,Edad,Altura,Valor_Mercado,ELO,Temporadas,Partidos_totales,Goles_totales,Asistencias_totales,Posicion
26,A. Loio,2,1,0.0,0.0,0.0,,,1000,27,1,2,0.0,0.0,Porteros
12,M. Giron,1,0,0.0,0.0,0.0,,,1000,27,1,1,0.0,0.0,Porteros
28,A. Mayoral,1,0,0.0,0.0,0.0,,,1000,27,1,1,0.0,0.0,Porteros
26,M. Heredia,2,2,0.0,0.0,1.0,,,1000,27,1,2,0.0,1.0,Porteros
15,L. Taus,10,9,0.0,0.0,0.0,,,1000,26,1,10,0.0,0.0,Porteros
13,M. De La Torre,25,25,38.0,0.0,0.0,19.0,,1000,31,1,25,38.0,0.0,Porteros
1,A. Sanchís,5,5,14.0,0.0,0.0,19.0,,1000,28,1,5,14.0,0.0,Porteros
2,M. Barbero,25,25,4.0,0.0,6.0,18.0,,3000,33,1,25,4.0,6.0,Defensas
14,A. Raul,29,29,1.0,0.0,6.0,19.0,,7000,38,1,29,1.0,6.0,Defensas
4,M. Carmena,25,24,1.0,0.0,9.0,19.0,,3000,32,1,25,1.0,9.0,Defensas
5,B. Medina,24,24,1.0,0.0,5.0,17.0,,1000,32,1,24,1.0,6.0,Defensas
3,C. Gonzalez,19,6,0.0,0.0,0.0,19.0,,2000,34,1,19,0.0,0.0,Defensas
15,M. Sainz,4,3,0.0,0.0,0.0,19.0,,1000,28,1,4,0.0,0.0,Defensas
21,V. Sampedro,24,18,6.0,0.0,2.0,19.0,,2000,32,1,24,6.0,2.0,Centrocampistas
8,J. Belda,25,13,0.0,0.0,5.0,19.0,,2000,34,1,25,0.0,5.0,Centrocampistas
20,P. Zarzuela,22,11,1.0,0.0,5.0,19.0,,2000,33,1,22,1.0,5.0,Centrocampistas
22,B. Garcia,22,15,1.0,0.0,1.0,19.0,,1000,29,1,22,1.0,1.0,Centrocampistas
27,E. Pardal,7,6,0.0,0.0,1.0,18.0,,1000,27,1,7,0.0,1.0,Centrocampistas
19,S. Alvarez,22,5,2.0,0.0,0.0,19.0,,1000,27,1,22,2.0,0.0,Centrocampistas
28,A. Urkia,5,2,0.0,0.0,0.0,18.0,,1000,26,1,5,0.0,0.0,Centrocampistas
16,Héctor Sanz,0,0,0.0,0.0,0.0,,,1000,26,1,0,0.0,0.0,Centrocampistas
9,L. Simon,25,24,13.0,0.0,2.0,19.0,,6000,35,1,25,13.0,2.0,Delanteros
23,G. Aranaz,30,29,3.0,0.0,4.0,16.0,,2000,32,1,30,3.0,4.0,Delanteros
11,M. Gross,29,14,3.0,0.0,3.0,18.0,,2000,29,1,29,3.0,3.0,Delanteros
17,I. Nieto,19,16,0.0,0.0,3.0,19.0,,1000,30,1,19,0.0,3.0,Delanteros
10,G. De La Mata,28,11,1.0,0.0,1.0,18.0,,2000,32,1,28,1.0,1.0,Delanteros
6,E. Bustos,25,7,4.0,0.0,3.0,19.0,,1000,27,1,25,4.0,3.0,Delanteros
18,G. Barajas,11,5,0.0,0.0,1.0,18.0,,1000,26,1,11,0.0,1.0,Delanteros
24,M. Romero,2,1,0.0,0.0,0.0,16.0,,1000,26,1,2,0.0,0.0,Delanteros
