Numero,Nombre,Partidos_jugados,Partidos_titular,Goles,Asistencias,Tarjetas_amarillas,Edad,Altura,Valor_Mercado,ELO,Temporadas,Partidos_totales,Goles_totales,Asistencias_totales,Posicion
29,M. Elias,1,1,0.0,0.0,0.0,,,1000,26,1,1,0.0,0.0,Porteros
13,Razvan Farcas,0,0,0.0,0.0,0.0,17.0,,1000,30,1,0,0.0,0.0,Porteros
1,Nicolás Lozano,18,18,26.0,0.0,2.0,19.0,,3000,31,2,18,26.0,2.0,Porteros
31,J. Garrote,12,12,12.0,0.0,3.0,18.0,,1000,27,2,12,12.0,3.0,Porteros
13,F. Carro,0,0,0.0,0.0,0.0,19.0,,1000,27,2,0,0.0,0.0,Porteros
5,L. Fati,3,3,0.0,0.0,1.0,19.0,180.0,16000,40,2,10,0.0,1.0,Defensas
4,S. Almarza,24,20,2.0,0.0,5.0,18.0,,7000,37,1,24,2.0,5.0,Defensas
2,Lucas Macazaga,23,21,2.0,0.0,3.0,18.0,183.0,8000,37,1,23,2.0,3.0,Defensas
26,B. Auguste,21,21,1.0,0.0,2.0,18.0,,1000,29,1,21,1.0,2.0,Defensas
4,Diego Arcos,7,7,0.0,0.0,2.0,19.0,,5000,36,2,31,0.0,4.0,Defensas
29,Hugo Velón,5,1,0.0,0.0,0.0,17.0,,1000,30,1,5,0.0,0.0,Defensas
5,J. Jurado,4,3,0.0,0.0,1.0,18.0,,2000,35,1,4,0.0,1.0,Defensas
12,L. Pinar,4,2,0.0,0.0,0.0,19.0,,3000,36,1,4,0.0,0.0,Defensas
15,D. Lorenzo,18,10,0.0,0.0,3.0,18.0,,2000,32,1,18,0.0,4.0,Defensas
4,D. Gueye,9,9,0.0,0.0,3.0,,,1000,32,1,9,0.0,3.0,Defensas
14,Sergio Calle,4,0,0.0,0.0,0.0,19.0,176.0,2000,32,1,4,0.0,0.0,Defensas
18,L. Mirzaev,1,0,0.0,0.0,0.0,,,1000,26,1,1,0.0,0.0,Defensas
27,Nima Andarz,3,1,0.0,0.0,0.0,19.0,181.0,1000,26,1,3,0.0,0.0,Defensas
7,Yuri Menac,24,22,10.0,0.0,7.0,19.0,174.0,16000,41,2,53,21.0,11.0,Centrocampistas
6,Á. González,26,23,4.0,0.0,2.0,19.0,,18000,42,2,51,5.0,5.0,Centrocampistas
3,Marco Leiton,22,20,3.0,0.0,7.0,19.0,177.0,12000,39,2,50,3.0,10.0,Centrocampistas
8,G. Rodriguez,23,16,5.0,0.0,2.0,19.0,,6000,38,1,23,5.0,2.0,Centrocampistas
5,N. Linares,22,21,5.0,0.0,4.0,19.0,,6000,37,2,31,5.0,6.0,Centrocampistas
28,Noé,5,3,1.0,0.0,1.0,18.0,,3000,35,1,5,1.0,1.0,Centrocampistas
27,C. Belda,1,1,0.0,0.0,0.0,,,1000,30,1,1,0.0,0.0,Centrocampistas
6,S. Martin,18,13,1.0,0.0,5.0,19.0,,1000,30,1,18,1.0,5.0,Centrocampistas
29,R. Martin,2,1,0.0,0.0,0.0,17.0,,2000,31,1,2,0.0,0.0,Centrocampistas
27,I. Heras,7,5,0.0,0.0,1.0,,,1000,27,1,7,0.0,1.0,Centrocampistas
3,C. Jimenez,14,7,1.0,0.0,2.0,19.0,,3000,36,1,14,1.0,2.0,Centrocampistas
12,A. Gomez,13,4,0.0,0.0,1.0,19.0,,3000,33,1,13,0.0,1.0,Centrocampistas
10,G. Siame,8,6,2.0,0.0,0.0,19.0,,1000,28,1,8,2.0,0.0,Centrocampistas
6,R. Camara,3,3,0.0,0.0,0.0,,,1000,26,1,3,0.0,0.0,Centrocampistas
9,Sule,25,24,17.0,0.0,8.0,19.0,,12000,41,1,25,17.0,8.0,Delanteros
28,A. Pestana,1,0,0.0,0.0,0.0,18.0,,1000,28,1,1,0.0,0.0,Delanteros
11,S. Mulumba,23,17,3.0,0.0,4.0,19.0,,1000,29,1,23,3.0,4.0,Delanteros
18,Joan Londoño,20,8,2.0,0.0,0.0,19.0,,2000,33,1,20,2.0,0.0,Delanteros
18,A. Usero,22,5,2.0,0.0,1.0,18.0,,2000,32,1,22,2.0,1.0,Delanteros
17,A. Pozo,14,2,1.0,0.0,1.0,,,1000,33,1,14,1.0,1.0,Delanteros
28,I. Bachiller,4,0,0.0,0.0,0.0,18.0,,1000,30,1,4,0.0,0.0,Delanteros
19,Luis Bravo,1,0,0.0,0.0,0.0,19.0,,1000,26,1,1,0.0,0.0,Delanteros
18,Alejandro Notario,5,0,1.0,0.0,0.0,19.0,,1000,26,2,9,2.0,0.0,Delanteros
