Numero,Nombre,Partidos_jugados,Partidos_titular,Goles,Asistencias,Tarjetas_amarillas,Edad,Altura,Valor_Mercado,ELO,Temporadas,Partidos_totales,Goles_totales,Asistencias_totales,Posicion
25,F. Marian,0,0,0.0,0.0,0.0,,,1000,27,1,0,0.0,0.0,Porteros
15,S. Chaparro,1,0,0.0,0.0,0.0,,,1000,27,1,1,0.0,0.0,Porteros
13,Lucca,18,18,28.0,0.0,1.0,18.0,185.0,1000,30,1,18,28.0,1.0,Porteros
1,Samu S.,13,12,23.0,0.0,0.0,19.0,,1000,30,2,14,23.0,0.0,Porteros
25,D. Sarrado,0,0,0.0,0.0,0.0,,,1000,27,2,5,0.0,0.0,Porteros
5,Neamti,28,24,3.0,0.0,2.0,18.0,185.0,4000,37,1,28,3.0,2.0,Defensas
3,Wizner,27,26,0.0,0.0,7.0,19.0,,5000,39,1,27,0.0,7.0,Defensas
4,Patas,15,15,0.0,0.0,8.0,19.0,,5000,37,2,37,2.0,16.0,Defensas
23,Alex,24,14,1.0,0.0,6.0,19.0,,1000,30,1,24,1.0,6.0,Defensas
24,Iñigo,18,11,0.0,0.0,6.0,18.0,,1000,27,1,18,0.0,6.0,Defensas
2,Joaquin,10,4,0.0,0.0,1.0,19.0,,1000,33,1,10,0.0,1.0,Defensas
26,Melero,20,14,0.0,0.0,7.0,18.0,,1000,28,1,20,0.0,7.0,Defensas
15,A. Trilla,14,6,0.0,0.0,6.0,18.0,,1000,26,1,14,0.0,6.0,Defensas
15,M. Guerra,7,5,1.0,0.0,2.0,,,1000,26,1,7,1.0,2.0,Defensas
12,Miguel,10,3,0.0,0.0,0.0,19.0,,1000,30,2,17,0.0,0.0,Defensas
10,Nacho,25,19,4.0,0.0,2.0,19.0,,3000,37,1,25,4.0,2.0,Centrocampistas
22,S. Espejo,27,25,1.0,0.0,7.0,19.0,,2000,31,1,27,1.0,7.0,Centrocampistas
21,Sala,27,24,5.0,0.0,5.0,18.0,,1000,29,1,27,5.0,5.0,Centrocampistas
8,Tristán,15,13,0.0,0.0,2.0,19.0,,1000,30,1,15,0.0,2.0,Centrocampistas
7,Amores,19,6,2.0,0.0,3.0,19.0,,1000,27,1,19,2.0,3.0,Centrocampistas
6,Ivan Rivas,3,2,0.0,0.0,0.0,19.0,,1000,30,1,3,0.0,0.0,Centrocampistas
14,Ángel,7,2,0.0,0.0,2.0,19.0,,1000,26,1,7,0.0,2.0,Centrocampistas
14,R. Sánchez,1,0,0.0,0.0,0.0,,,1000,27,1,1,0.0,0.0,Centrocampistas
17,Caballero,15,7,0.0,0.0,2.0,19.0,,1000,26,1,15,0.0,2.0,Centrocampistas
15,N. Ojo,0,0,0.0,0.0,0.0,,,1000,27,1,0,0.0,0.0,Centrocampistas
15,A. Santos,1,0,0.0,0.0,0.0,,,1000,27,1,1,0.0,0.0,Centrocampistas
18,Tomy,17,14,10.0,0.0,3.0,18.0,,3000,33,1,17,10.0,3.0,Delanteros
11,Cobos,23,21,5.0,0.0,2.0,19.0,,2000,32,1,23,5.0,2.0,Delanteros
9,Guti,22,18,4.0,0.0,4.0,19.0,,4000,36,1,22,4.0,4.0,Delanteros
20,A. Perez,24,13,5.0,0.0,4.0,19.0,,1000,28,1,24,5.0,4.0,Delanteros
19,Emmanuel,26,10,4.0,0.0,2.0,19.0,,1000,30,1,26,4.0,2.0,Delanteros
9,A. Siso,8,3,0.0,0.0,0.0,18.0,,1000,26,1,8,0.0,0.0,Delanteros
8,M. Pascual,2,0,1.0,0.0,0.0,19.0,,1000,27,1,2,1.0,0.0,Delanteros
27,R. Perez,2,0,0.0,0.0,1.0,,,1000,27,1,2,0.0,1.0,Delanteros
16,Luis Bravo,7,1,1.0,0.0,1.0,19.0,,1000,26,1,7,1.0,1.0,Delanteros
